movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Plie,0.0,0,22.9,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
movement, velocity, acc, jerk, ci, weight,evaluatedjoint, pivot
Back from Etendre right,35.770834154337315,1,0.25,1.0,1.28,foot right,ankle right
Back from Etendre right,35.770834154337315,1,0.25,1.0,1.28,foot right,ankle right
Back from Etendre right,0.0,0,77.34,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,77.34,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Back from Etendre right,0.0,0,0.0,1.0,0.0,foot right,ankle right
Plie,0.0,0,0.0,0.88,0.0,hip right,knee right
Plie,0.0,-92,1882.47,0.88,0.0,hip right,knee right
Plie,0.0,-92,1882.47,0.88,0.0,hip right,knee right
Plie,0.0,-27,485.76,0.88,0.0,hip right,knee right
Plie,0.0,-27,485.76,0.89,0.0,hip right,knee right
Plie,0.0,-27,485.76,0.89,0.0,hip right,knee right
Plie,17.213066224803175,-4,73.06,0.89,0.3,hip right,knee right
Plie,17.213066224803175,-4,73.06,0.89,0.3,hip right,knee right
Plie,3.353596861157803,-11,144.71,0.89,0.01,hip right,knee right
Plie,3.353596861157803,-11,144.71,0.89,0.01,hip right,knee right
Plie,12.332772259278071,26,570.72,0.89,0.15,hip right,knee right
Plie,12.332772259278071,26,570.72,0.89,0.15,hip right,knee right
Plie,8.65148983207552,13,228.79,0.89,0.07,hip right,knee right
Plie,8.65148983207552,13,228.79,0.89,0.07,hip right,knee right
Plie,0.0,0,21.45,0.89,0.0,hip right,knee right
Plie,0.0,0,21.45,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
Plie,0.0,0,0.0,0.89,0.0,hip right,knee right
