timestamp, velUL, velUR, velKL, velKR, velHL, velHR,accUL, accUR, accKL, accKR, accHL, accHR,jerUL, jerUR, jerKL, jerKR, jerHL, jerHR,weiUL, weiUR, weiKL, weiKR, weiHL, weiHR,CI
20:04.8,40,22,136,16,175,28,321.8125,359.1401,323.4151,79.076,664.9341,386.7708,238.8374,1044.0347,574.6995,348.7004,1093.3063,938.9724,1600,484,18496,256,30625,784,1.01
20:04.8,91,13,216,13,145,17,464.4115,111.1511,1055.6922,39.9808,200.3903,271.9396,521.9515,243.2233,2279.3949,119.333,976.9974,499.9445,8281,169,46656,169,21025,289,1.01
20:04.9,51,29,109,34,157,16,245.2298,240.3715,691.8286,132.4801,82.269,151.0993,628.7304,880.7505,960.6948,310.2851,914.9195,487.0792,2601,841,11881,1156,24649,256,1.01
20:04.9,40,34,41,32,83,28,100.0536,59.751,478.7632,132.4372,881.2347,86.7829,842.2053,236.8128,2156.9989,181.1736,1028.5795,333.679,1600,1156,1681,1024,6889,784,1
20:05.0,9,27,32,22,64,10,218.2391,135.5515,161.9652,169.3002,769.5923,205.744,167.1543,498.2004,816.6269,357.1332,1237.0677,487.2056,81,729,1024,484,4096,100,1
20:05.0,3,14,16,20,33,42,49.1863,119.1499,173.3394,27.8193,390.9216,204.746,76.5555,223.7596,884.4104,215.3056,1885.8725,269.4964,9,196,256,400,1089,1764,1
20:05.1,12,34,24,2,45,7,65.2128,142.7773,206.1646,129.8464,269.2649,222.4908,232.5505,210.4084,353.7661,361.8623,998.2867,463.521,144,1156,576,4,2025,49,0.99
20:05.1,2,21,7,3,28,20,62.9356,119.7647,157.7537,24.1591,368.9235,87.7874,130.549,95.335,321.1268,64.4109,150.3158,176.5702,4,441,49,9,784,400,1
20:05.2,5,3,20,3,54,26,32.0583,114.1528,148.0722,5.8238,197.3305,43.9339,113.1144,366.112,402.2697,193.2005,678.9318,396.2535,25,9,400,9,2916,676,1
20:05.2,4,5,18,7,44,1,50.6154,9.0156,205.5788,26.6097,580.8574,163.0501,89.2137,178.6979,446.513,4.6233,1421.5334,375.9958,16,25,324,49,1936,1,0.99
20:05.3,7,7,7,1,16,3,21.0781,44.2751,77.7806,44.9095,212.8107,11.0936,44.6479,185.6359,187.1182,66.2907,41.1193,81.5161,49,49,49,1,256,9,1
20:05.3,7,5,10,0,8,2,52.541,50.2509,106.9669,7.8126,142.0184,31.7147,153.7621,82.6031,420.0322,44.3094,1015.8356,286.4104,49,25,100,0,64,4,1
20:05.4,2,6,10,4,25,18,51.5809,14.7797,46.3053,30.9274,138.0546,98.3787,97.8799,59.6064,100.7233,113.7358,123.9242,162.0331,4,36,100,16,625,324,0.99
20:05.4,1,7,25,3,101,25,21.6552,49.4517,105.9813,37.0461,461.2008,44.862,62.7371,138.7769,220.3823,53.0379,561.7786,49.0983,1,49,625,9,10201,625,0.99
20:05.4,1,11,14,6,32,5,6.7215,28.3428,226.4361,45.6389,803.3285,125.6055,81.8963,35.5085,388.8291,31.8108,1381.6468,335.5894,1,121,196,36,1024,25,0.99
20:05.5,1,13,7,9,33,5,8.4471,45.9919,85.7285,19.1605,55.372,64.5156,40.0424,128.2739,200.9162,82.8548,689.5902,159.3783,1,169,49,81,1089,25,0.98
20:05.5,12,9,14,6,13,5,67.5897,32.3203,108.1455,19.2871,139.3257,23.5422,103.6165,74.7823,398.9139,96.3361,1410.8077,216.3895,144,81,196,36,169,25,0.98
20:05.6,45,17,11,1,20,6,206.6022,85.302,96.8868,33.9014,53.3116,16.8852,315.1188,87.0822,89.5381,79.4671,10.1415,111.3489,2025,289,121,1,400,36,0.98
20:05.6,20,8,20,0,14,1,147.9516,62.707,88.6786,10.8392,69.3782,33.5247,317.3611,53.9804,90.0044,26.5327,120.251,78.0787,400,64,400,0,196,1,0.98
20:05.7,11,12,14,2,17,6,61.1956,29.8123,129.9163,11.7432,106.9187,30.5066,401.2935,104.8687,108.779,34.9579,214.9806,55.1266,121,144,196,4,289,36,0.98
20:05.7,7,3,3,0,7,0,86.0659,68.8209,103.3817,8.5062,131.7199,39.5132,154.7369,90.9016,181.903,24.2724,272.0904,45.7722,49,9,9,0,49,0,0.98
20:05.8,2,7,2,5,14,5,51.512,41.9975,27.3157,26.8462,101.0455,27.4753,94.5532,64.6278,187.0642,23.7939,102.2459,36.6139,4,49,4,25,196,25,0.98
20:05.8,3,2,2,4,4,8,16.5304,31.8427,13.6773,17.8222,62.7016,28.505,111.766,58.6129,135.973,20.7785,145.7126,40.544,9,4,4,16,16,64,0.98
20:05.9,2,8,4,3,16,8,12.7808,43.5307,28.6261,9.1565,118.9299,34.84,90.6474,47.1009,64.1737,51.7998,268.5758,49.34,4,64,16,9,256,64,0.98
20:05.9,1,3,7,2,29,16,14.5075,71.9737,25.9586,6.6431,90.0286,51.4227,42.5149,63.4791,47.9238,28.4547,105.362,104.2917,1,9,49,4,841,256,0.98
20:06.0,12,10,11,1,4,0,85.4968,78.332,49.2613,14.2005,151.7301,100.7993,143.6543,80.6145,82.8578,22.6053,403.8895,192.7391,144,100,121,1,16,0,0.98
20:06.0,4,4,5,0,4,2,49.4495,38.5209,49.694,6.5795,53.9443,13.3234,57.9082,65.2271,111.4753,7.3079,201.974,83.5608,16,16,25,0,16,4,0.99
20:06.1,2,4,2,2,3,3,11.8754,23.1994,21.792,10.4045,10.8278,15.1355,146.0148,139.175,103.4753,22.7633,233.7076,152.1525,4,16,4,4,9,9,0.99
20:06.1,6,5,6,1,6,0,21.2868,35.351,34.4261,11.2111,59.3211,19.9346,102.7496,99.1062,121.1906,23.0411,169.1626,41.7249,36,25,36,1,36,0,0.99
20:06.1,5,8,7,3,0,6,8.4667,24.8677,28.4448,10.874,46.0128,40.9008,21.0687,71.1754,54.4523,0.969,84.0495,53.5573,25,64,49,9,0,36,0.99
20:06.2,6,1,20,1,13,1,35.9883,41.935,87.3215,12.2467,84.4584,32.367,75.0877,112.4288,104.4923,20.2703,50.5468,48.3479,36,1,400,1,169,1,0.99
20:06.2,3,3,6,1,4,1,19.1457,25.2675,86.5417,10.4486,59.6617,5.444,33.7845,74.2584,158.8617,29.5589,37.1092,59.3283,9,9,36,1,16,1,0.99
20:06.3,6,5,4,1,10,1,32.7859,37.9342,58.5388,14.2431,75.387,15.9393,90.4674,103.086,216.1662,37.8967,183.7277,42.145,36,25,16,1,100,1,0.99
20:06.3,2,0,4,1,15,2,29.404,31.8377,11.6202,10.8525,84.6875,9.4325,17.293,47.6958,140.1645,10.704,65.6334,11.492,4,0,16,1,225,4,0.99
20:06.4,4,2,6,4,23,35,16.5182,14.4099,50.0248,23.3351,150.5223,212.6966,50.8135,59.9141,159.1034,35.4737,333.7666,342.1122,16,4,36,16,529,1225,0.99
