"","datasetp2$jerKR"
"581",0.175438424501295
"582",0.0586489970007299
"583",0.11248968884724
"584",0.0371232892367331
"585",0.0125607774557548
"586",0.036097922458479
"587",0.189036354876867
"588",0.131150455466904
"589",0.210866326842098
"590",0.409740447407992
"591",0.263690133526244
"592",0.590497643666663
"593",0.181401826604103
"594",0.609715608390025
"595",0.43244061113347
"596",0.51895499332417
"597",0.387085473071076
"598",0.709924826171623
"599",0.352520657760327
"600",0.564691969327944
"601",0.295519132033287
"602",0.0477528468144441
"603",0.084979732930989
"604",0.106203021520586
"605",0.100458103640114
"606",0.160068882837629
"607",0.173969094699031
"608",0.370998160893775
"609",0.186097227131202
"610",0.42048932590017
"611",0.309162940240269
"612",0.352796145050502
"613",0.0944457119442218
"614",0.167583924969643
"615",0.288537798334987
"616",0.147659039591935
"617",0.0792801696653631
"618",0.0683859746567665
"619",0.125526428150593
"620",0.133628739569919
"621",0.0262839493542888
"622",0.0538991268754732
"623",0.0217943106256885
"624",0.0223086600465084
"625",0.0508217598058701
"626",0.114618354134175
"627",0.132858041570107
"628",0.152246547355849
"629",0.148646569551247
"630",0.0301426990567094
"631",0.144963813378565
"632",0.405861154570978
"633",0.2538292086198
"634",0.243180374642337
"635",0.276070594031173
"636",0.797775062865159
"637",0.800592666679242
"638",0.536756280354306
"639",0.592243975333368
"640",0.257342442625517
"641",0.149146076144257
"642",0.110561635806298
"643",0.0541303610593593
"644",0.126988432920951
"645",0.150044962202422
"646",0.0651640896644488
"647",0.503372502518668
"648",0.421754022950206
"649",0.363882883754911
"650",0.32958265079962
"651",0.542079430608197
"652",0.532180613807382
"653",0.396239229483749
"654",0.147906576102469
"655",0.241721371482797
"656",0.102506221113799
"657",0.107776388806085
"658",0.151251058997211
"659",0.173293897491135
"660",0.0276043827373231
"661",0.0672332734892913
"662",0.0591105015485145
"663",0.0385008083007482
"664",0.0193223051214503
"665",0.128838499156038
"666",0.13035943463421
"667",0.2261863281584
"668",0.365400239330272
"669",0.285745914745716
"670",0.472254335021349
"671",0.161672954674162
"672",0.620962203523808
"673",0.258886234406253
"674",0.53280084573827
"675",0.292074301708977
"676",0.373954279408936
"677",0.284771740577661
"678",0.0608924945547613
"679",0.160307717430561
"680",0.0225188829546645
"681",0.232847701158525
"682",0.0712458488617355
"683",0.462386663374992
"684",0.182071681495496
"685",0.51637589365045
"686",0.406630393071952
"687",0.202633596809591
"688",0.497992266583797
"689",0.16456482770272
"690",0.220894818737817
"691",0.0940460020265004
"692",0.103712510672585
"693",0.102794540978666
"694",0.0522007659064376
"695",0.104131662216343
"696",0.0695483140241178
"697",0.117523307576851
"698",0.26561807641633
"699",0.0654877679540043
"700",0.586155331707598
"701",0.198958193206529
"702",0.251113053743842
"703",0.17235144676953
"704",0.15062085841388
"705",0.176339293274863
"706",0.103520159740771
"707",0.059294288251296
"708",0.019679056205438
"709",0.177934112439515
"710",0.144015001445042
"711",0.125522848247782
"712",0.177455809886232
"713",0.473107480936673
"714",0.314001591955242
"715",0.375129671652691
"716",0.503644024378037
"717",0.356772590942268
"718",0.392891552214191
"719",0.0884543865994875
"720",0.29649721655672
"721",0.125337078829598
"722",0.0761079902466925
"723",0.0185882873565956
"724",0.128019527543703
"725",0.367320664424454
"726",0.476288031820379
"727",0.442776699293809
"728",0.635436411494407
"729",0.189267974588748
"730",0.617624770283833
"731",0.207072979210265
"732",0.273638738513847
"733",0.207100406773341
"734",0.0958927912736289
"735",0.114939581567191
"736",0.1323860176156
"737",0.225023630800768
"738",0.130346849898943
"739",0.16764742693797
"740",0.123928497224267
"741",0.109244451873508
"742",0.261904780918898
"743",0.132616425668068
"744",0.444548530883615
"745",0.182395029332484
"746",0.151159936701811
"747",0.0431706813670327
"748",0.119875496487771
"749",0.156652664198094
"750",0.0290532795558497
"751",0.0533384865575338
"752",0.0790806864656404
"753",0.16552055160244
"754",0.118351146333071
"755",0.0730411976592392
"756",0.176991771868766
"757",0.0608342798275093
"758",0.0558820350425671
"759",0.156262620017963
"760",0.0743802465368915
"761",0.166209379978733
"762",0.079303246269638
"763",0.0453716056153254
"764",0.0254943604827196
"765",0.16497874708083
"766",0.11150392130162
"767",0.0495987273170129
"768",0.10775702979319
"769",0.0959357225696487
"770",0.0919309954456752
"771",0.0463475421970717
"772",0.00483485151045049
"773",0.0075304357141018
"774",0.0243866834775231
"775",0.0167768840718696
"776",0.0199241969348597
"777",0.0303768522382723
"778",0.0246850270702612
"779",0.0236706203021521
"780",0.0254120777934911
"781",0.0296644240411402
"782",0.0237078788291019
"783",0.0250581906317523
"784",0.0268674735125056
"785",0.0269321320648177
"786",0.0134135929185116
"787",0.0184376560613882
"788",0
"789",0.00679118578360011
"790",0.00884346145208844
"791",0.00688307913499084
"792",0.0119455298510884
"793",0.00584174048265627
"794",0.0177045470410933
