 velKR, accKR, jerKR, weiKR
38,180.3036,432.0178,1444
59,149.9388,204.5543,3481
80,262.7297,508.3193,6400
115,263.0254,193.6694,13225
101,239.3803,671.5371,10201
107,180.7534,299.7012,11449
113,168.8474,161.5667,12769
107,210.7791,356.6313,11449
150,331.402,311.3409,22500
85,453.7242,778.5633,7225
122,226.6579,269.3705,14884
105,242.5156,575.0376,11025
42,383.7098,908.9366,1764
146,643.3876,943.1009,21316
78,551.5412,274.4827,6084
165,543.5283,457.7294,27225
93,431.1733,780.4115,8649
151,361.6782,352.0255,22801
94,365.6296,185.0461,8836
81,209.7227,746.1983,6561
65,263.6374,700.5143,4225
42,153.1619,226.5708,1764
15,212.9571,492.883,225
20,99.8181,317.1592,400
29,156.7315,192.493,841
27,258.0129,247.2489,729
34,97.4871,112.8331,1156
29,157.4948,448.6883,841
113,599.662,876.9461,12769
84,174.7582,210.4043,7056
72,93.0168,994.9197,5184
119,314.2788,711.7172,14161
61,453.549,661.5448,3721
76,118.9574,373.1605,5776
81,155.9188,862.0127,6561
71,246.4524,465.4964,5041
68,204.4675,387.155,4624
62,251.4488,717.3436,3844
58,192.1252,330.71,3364
65,107.7177,534.9632,4225
76,151.7492,357.0011,5776
76,207.8637,238.0444,5776
58,106.6516,309.631,3364
66,60.6747,242.0162,4356
70,240.7607,348.5461,4900
74,118.7713,154.8147,5476
84,402.9061,952.8231,7056
61,327.3246,456.144,3721
54,304.7762,743.0276,2916
100,317.6489,549.6202,10000
111,379.8624,821.7741,12321
84,342.3779,962.8716,7056
94,535.8196,1366.551,8836
80,192.8118,679.8848,6400
33,328.0086,1172.8926,1089
98,417.3807,489.3283,9604
31,484.804,763.9708,961
14,143.2655,680.0535,196
21,189.6461,571.8408,441
63,305.8369,495.2671,3969
25,228.1793,606.2069,625
59,240.0784,459.9548,3481
68,168.0466,331.3828,4624
102,303.4497,398.4962,10404
89,172.3407,494.0979,7921
63,171.975,712.4706,3969
82,147.0262,351.1683,6724
84,164.1894,391.4664,7056
102,217.3065,388.4737,10404
86,159.416,414.5983,7396
110,233.2136,559.5677,12100
64,321.2148,420.1971,4096
130,476.3325,755.0447,16900
80,444.5659,343.5764,6400
48,225.2188,1005.8876,2304
74,292.1574,811.2779,5476
88,160.9948,295.6426,7744
104,287.3117,544.4527,10816
123,151.9685,380.3235,15129
81,267.3025,770.5924,6561
68,200.5389,465.8012,4624
67,120.0508,397.9937,4489
63,279.6295,708.1706,3969
64,247.2423,287.0927,4096
33,230.2456,559.8282,1089
24,82.1255,474.7664,576
31,47.4321,404.7247,961
13,117.8777,186.6914,169
10,59.5194,122.6385,100
17,159.2779,93.3445,289
32,117.2733,218.2981,1024
25,59.1472,312.4061,625
21,131.7695,299.7025,441
56,213.6146,401.9663,3136
76,119.251,239.0249,5776
56,146.2726,527.4082,3136
86,216.3599,231.6343,7396
81,40.908,226.9059,6561
54,206.4465,623.4906,2916
36,148.4569,210.5481,1296
62,206.5265,587.4584,3844
59,34.748,176.6845,3481
63,153.3254,405.5041,3969
61,62.331,143.5752,3721
46,154.7742,236.105,2116
49,100.5401,207.1801,2401
26,143.1287,247.0528,676
14,77.3658,212.4616,196
41,203.3381,473.1115,1681
36,43.7708,126.0155,1296
27,116.769,472.7643,729
10,10.0717,18.6853,100
10,25.0304,11.9146,100
12,64.9593,60.8132,144
16,22.9031,80.8497,256
35,116.3529,108.0266,1225
43,69.4171,83.2842,1849
71,240.9398,344.8406,5041
163,623.6604,859.7834,26569
92,482.1981,1053.5265,8464
167,490.542,262.7975,27889
116,326.3391,511.5015,13456
127,603.6278,1263.8664,16129
116,296.4766,513.2875,13456
59,609.7074,1712.7513,3481
208,1045.4771,1747.4229,43264
160,1280.7129,1945.0924,25600
75,802.4791,2104.4103,5625
72,39.446,1907.6626,5184
28,203.9581,285.4155,784
17,172.5133,652.9003,289
56,278.6851,229.2887,3136
131,753.3296,920.7527,17161
208,1158.0122,1383.8346,43264
172,293.0485,1080.9859,29584
151,546.9942,2019.0975,22801
100,554.0388,1000.5037,10000
154,327.6337,945.4373,23716
196,531.6846,698.8752,38416
161,432.7091,925.5038,25921
60,1037.4227,2063.7967,3600
54,69.8873,693.6522,2916
33,245.209,1892.0787,1089
61,224.7701,329.7709,3721
61,161.793,125.5999,3721
16,330.1601,763.2629,256
23,144.8753,126.8373,529
13,75.2441,394.5792,169
12,48.4332,79.0032,144
21,84.8728,141.0363,441
68,296.0922,402.002,4624
56,150.1952,249.1424,3136
148,567.4207,618.8981,21904
89,854.2216,1309.5724,7921
113,462.0206,954.7129,12769
276,1289.6723,3118.4935,76176
96,1085.1155,2179.9035,9216
57,353.8858,2458.3306,3249
209,1014.5202,2154.8172,43681
231,935.6491,1842.9856,53361
143,1410.9871,2901.6056,20449
71,783.8141,1215.4419,5041
104,359.2161,2111.7733,10816
53,359.1006,1253.0789,2809
24,190.4682,807.0502,576
14,221.1486,492.8978,196
17,122.3583,282.3979,289
22,76.4081,338.7529,484
20,56.661,250.1001,400
98,496.4171,712.5188,9604
68,273.5394,460.9783,4624
209,919.6562,1219.8927,43681
98,667.9897,1002.3599,9604
101,339.6165,1475.9134,10201
136,457.6586,1411.0796,18496
109,552.6443,910.5482,11881
98,148.0035,867.6803,9604
125,402.389,588.2127,15625
100,163.6254,404.3625,10000
111,146.1198,692.3658,12321
60,333.627,269.7306,3600
22,249.8649,559.2207,484
20,47.9009,466.2842,400
27,72.3196,390.1622,729
18,58.4569,103.894,324
16,71.7609,156.6767,256
10,19.7282,78.6989,100
10,31.3354,50.1051,100
10,41.5905,70.2411,100
34,153.2525,193.2906,1156
43,95.189,138.9098,1849
58,96.7292,129.2483,3364
77,200.1369,286.5605,5929
99,195.524,259.5582,9801
136,227.5977,171.626,18496
169,433.4846,537.3236,28561
81,643.7071,1250.7267,6561
77,212.4979,958.5586,5929
142,396.7961,1214.5469,20164
141,265.6032,696.2382,19881
116,410.5155,1024.4631,13456
101,374.727,724.4631,10201
108,132.6464,535.2455,11664
61,411.005,1061.8002,3721
31,554.5502,902.0924,961
25,138.7823,803.374,625
14,78.8151,898.2224,196
154,874.733,1498.1274,23716
131,355.2227,630.8127,17161
181,710.4434,1948.6694,32761
196,462.6436,995.4273,38416
116,503.5057,1606.9458,13456
125,341.9424,1056.6811,15625
304,1274.5611,1975.4801,92416
95,1753.4466,3094.2857,9025
154,849.4673,991.5769,23716
78,690.9535,1700.8938,6084
39,236.0369,1490.5666,1521
28,228.0332,780.7392,784
13,127.548,164.2576,169
33,149.4457,174.8404,1089
31,89.9708,160.0328,961
203,1156.0217,1858.196,41209
99,1344.7891,2128.819,9801
102,606.7009,1724.548,10404
223,1096.6758,3639.3429,49729
162,543.7706,1635.7443,26244
121,752.7711,2585.4494,14641
189,665.5553,1517.4727,35721
91,664.1863,1885.6815,8281
215,894.073,1278.2745,46225
60,966.7018,1095.2592,3600
45,309.2782,1689.6034,2025
29,179.31,1392.7283,841
11,210.8728,518.2403,121
43,195.8481,204.6046,1849
42,44.9133,296.1312,1764
185,999.319,1430.882,34225
110,861.0844,1336.6513,12100
132,421.6147,1726.9738,17424
144,167.2593,1398.2985,20736
97,336.6717,1089.5815,9409
201,797.9123,1265.0808,40401
132,468.8771,652.4648,17424
115,211.765,1455.1328,13225
56,378.906,181.5317,3136
27,243.3322,218.6451,729
49,204.712,702.3998,2401
34,101.9541,231.3398,1156
10,72.6199,84.5608,100
20,88.208,243.4051,400
26,114.1301,240.6519,676
80,377.6324,480.3541,6400
43,270.9046,408.7165,1849
140,788.7695,1138.4025,19600
144,343.7655,786.7672,20736
141,79.7766,1147.4185,19881
44,624.6548,1100.2243,1936
167,908.4445,1310.4202,27889
67,671.4393,585.6525,4489
107,292.5256,1020.5448,11449
141,211.6919,1319.3823,19881
146,589.7976,1139.5884,21316
70,461.1262,947.8651,4900
40,219.356,984.3509,1600
44,121.1287,739.7176,1936
41,485.5602,400.3817,1681
32,114.2892,90.0331,1024
53,166.4296,571.5221,2809
95,390.4862,694.0849,9025
215,1040.4764,1444.6933,46225
124,732.8147,1515.1698,15376
133,717.4637,2216.7394,17689
126,787.4175,1512.5646,15876
140,277.3986,1299.5651,19600
181,250.6248,1077.4473,32761
71,693.5847,1284.9186,5041
65,201.8341,592.0418,4225
77,145.1461,1043.4162,5929
30,359.8349,645.0436,900
39,98.3909,220.9364,1521
27,110.7159,416.4526,729
23,78.1473,142.7683,529
10,38.936,53.5724,100
17,88.8375,139.0448,289
95,480.5663,694.4229,9025
92,259.4258,484.217,8464
104,221.1981,773.6959,10816
81,814.7977,1495.8841,6561
79,673.7463,965.5194,6241
170,624.8307,2152.2828,28900
203,342.8991,666.699,41209
80,858.9688,2222.0706,6400
144,748.8882,1578.3171,20736
127,565.1871,1892.484,16129
203,518.0246,1413.6152,41209
175,1356.6475,2585.9687,30625
98,688.1542,1288.0971,9604
55,258.8685,2058.5725,3025
41,105.5792,1081.1027,1681
21,207.1104,181.3683,441
16,203.4196,316.5534,256
19,71.6924,393.6233,361
33,171.7675,372.7613,1089
96,391.5042,589.2309,9216
50,286.0872,639.7079,2500
216,1078.5511,1355.196,46656
118,733.8956,683.7498,13924
138,395.795,1534.9174,19044
143,81.61,1130.6486,20449
95,521.2848,1289.0975,9025
125,202.6001,350.928,15625
159,361.246,616.5209,25281
76,512.4818,1055.7508,5776
74,12.6451,544.166,5476
17,348.3795,295.8561,289
43,162.9831,256.2951,1849
39,78.5078,463.794,1521
14,167.1961,493.2166,196
16,12.8379,103.4065,256
10,40.6112,203.6878,100
15,56.2302,87.1029,225
17,82.1092,88.9707,289
33,178.8096,192.5127,1089
57,177.0863,424.1826,3249
44,168.2399,490.4179,1936
131,528.941,560.825,17161
71,375.4588,547.7521,5041
170,597.8244,117.4191,28900
138,442.8051,534.3786,19044
84,464.1331,1481.7969,7056
87,191.6557,929.7106,7569
116,233.6714,891.0406,13456
218,669.0596,1010.4776,47524
277,1803.4544,2904.9866,76729
99,1683.8368,2915.2184,9801
73,505.5346,1957.1273,5329
33,292.619,2158.6244,1089
25,275.6961,942.4685,625
15,82.2391,549.566,225
18,53.8169,409.4511,324
22,149.5554,204.5275,484
69,313.5945,469.1031,4761
40,233.2579,552.8302,1600
97,345.3817,244.5952,9409
209,999.2307,1835.898,43681
124,701.3861,1539.51,15376
224,772.924,1329.3577,50176
63,1101.8278,1204.8004,3969
101,760.2378,1976.4577,10201
142,360.05,1940.5113,20164
129,429.6784,1446.856,16641
109,211.29,545.0649,11881
61,344.6918,885.7424,3721
75,253.7637,380.1988,5625
47,235.826,399.3368,2209
26,202.952,557.21,676
40,195.8613,637.256,1600
18,179.48,108.2015,324
24,106.6374,252.1092,576
17,45.8331,222.6123,289
13,61.9745,147.7706,169
16,73.7818,78.1261,256
60,320.7157,475.8214,3600
105,313.8491,481.3445,11025
71,262.6784,829.3287,5041
78,587.9166,1334.8678,6084
91,626.8817,1045.6124,8281
121,577.7319,1722.896,14641
238,709.68,595.0559,56644
68,1040.8662,2262.9113,4624
81,80.3358,948.0746,6561
161,830.9346,1942.7636,25921
94,692.3538,1068.5932,8836
47,319.9632,1365.9308,2209
60,123.2916,1042.0748,3600
27,199.5565,229.0834,729
24,288.9084,590.0982,576
56,230.8084,89.7341,3136
13,283.5342,853.5187,169
36,165.5746,266.6804,1296
175,869.0216,1687.0627,30625
128,318.1417,669.1315,16384
73,399.2464,1883.1183,5329
215,885.2642,1484.5903,46225
118,619.8674,743.7997,13924
79,405.2252,1816.3603,6241
53,278.216,605.5574,2809
48,194.8693,810.1132,2304
41,181.4993,349.4765,1681
12,179.054,384.5793,144
16,140.0985,381.2458,256
25,129.2188,197.5204,625
48,183.1622,386.1014,2304
41,134.3095,260.516,1681
57,212.5133,434.7316,3249
171,709.7371,972.5205,29241
173,185.5004,245.7706,29929
57,736.975,2136.5142,3249
118,594.1424,730.4529,13924
66,355.4847,919.8472,4356
114,353.3958,633.8336,12996
70,305.4445,554.9215,4900
55,100.274,648.315,3025
39,99.2807,383.8808,1521
39,89.775,223.2797,1521
18,131.9059,79.4216,324
62,452.5418,654.1064,3844
29,232.6559,530.9331,841
129,659.8609,463.781,16641
162,308.0677,652.3695,26244
82,544.0701,1725.9941,6724
93,482.4217,1148.2196,8649
218,779.1707,1370.1991,47524
112,810.9411,1836.884,12544
93,326.6499,1303.5375,8649
90,306.8737,1434.6993,8100
107,236.6686,329.1712,11449
24,575.1986,1084.6545,576
20,117.5334,463.1064,400
18,153.7259,284.3367,324
10,52.3205,75.4606,100
75,406.1908,472.8474,5625
189,867.465,1341.8416,35721
85,946.2307,1737.5439,7225
67,316.1557,1615.8514,4489
138,652.0656,2315.4727,19044
161,244.735,695.264,25921
25,876.2484,2250.7918,625
83,460.2187,759.9208,6889
65,242.7016,1001.6466,4225
91,248.7897,760.0204,8281
71,139.0631,356.1829,5041
83,152.3943,425.3491,6889
17,429.3401,488.7038,289
56,423.1103,825.1065,3136
73,114.7887,481.2988,5329
77,60.3772,616.7515,5929
88,262.0982,457.9913,7744
70,252.0347,404.6679,4900
203,852.8657,959.0361,41209
164,343.1986,489.5405,26896
127,247.2618,1622.2856,16129
74,404.6597,670.3057,5476
40,292,556.8791,1600
12,316.1234,164.7287,144
17,30.5527,443.2733,289
12,97.8052,576.8253,144
19,66.2453,113.463,361
49,195.509,201.6519,2401
41,164.8235,295.1317,1681
11,213.4438,609.028,121
41,224.5957,437.7378,1681
20,312.6133,273.2,400
29,188.3539,650.6844,841
22,51.8791,228.872,484
36,95.4421,210.8885,1296
51,364.4826,575.4089,2601
39,118.3241,278.0626,1521
42,86.6428,611.5294,1764
16,205.7756,295.9399,256
49,199.9749,172.7211,2401
60,232.3655,100.5392,3600
25,219.3344,607.0605,625
19,53.0307,412.8729,361
19,179.0216,188.0714,361
37,244.5196,399.2665,1369
28,109.1045,356.3388,784
32,37.9715,341.7961,1024
23,57.9344,176.2651,529
27,29.1083,25.5166,729
18,71.4682,35.3053,324
19,39.2714,96.5168,361
10,50.9492,68.8827,100
15,69.4469,80.3118,225
15,19.0824,118.2694,225
21,52.4555,97.6002,441
25,49.7324,93.9165,625
23,26.1078,100.2404,529
20,33.065,115.6823,400
17,58.7319,94.0518,289
17,52.8677,98.9553,289
10,83.951,105.5255,100
11,61.8923,105.7603,121
10,56.3944,56.6693,100
14,39.2025,74.9136,196
14,7.133,7.9594,196
17,18.4104,32.6208,289
11,31.1357,40.0734,121
11,5.1511,32.9545,121
12,21.9156,51.3382,144
10,20.0898,29.173,100
10,28.8164,72.2514,100
