"","dataset$jerKR"
"462",0.214446861315226
"463",0.258648638381998
"464",0.3956389357955
"465",0.289108418314849
"466",0.268528039196988
"467",0.500754326058141
"468",0.285413409963923
"469",0.653926989743112
"470",0.358376850342359
"471",0.300230348761013
"472",0.125426114933919
"473",0.117070034687466
"474",0.0573770745858721
"475",0.0469535715014246
"476",0.152048166439864
"477",0.0922377145585506
"478",0.134408217331825
"479",0.0971094066874159
"480",0.185188885335303
"481",0.32348705366729
"482",0.172331788712875
"483",0.338728873013803
"484",0.188053125890424
"485",0.713340204079617
"486",0.249782297823497
"487",0.323770763878933
"488",0.201007747898104
"489",0.257062607477047
"490",0.244094109906424
"491",0.101280328827055
"492",0.158026840168147
"493",0.319445913091691
"494",0.398813196071219
"495",0.116823085707514
"496",0.139405942820715
"497",0.156568752765652
"498",0.526094888235404
"499",0.221601858417216
"500",0.14960112982402
"501",0.0711381010632574
"502",0.135476960042199
"503",0.125630932659118
"504",0.105717553653919
"505",0.0536476836711871
"506",0.137763436572567
"507",0.154231675481073
"508",0.18715481834149
"509",0.0450374103197139
"510",0.129749307861692
"511",0.301220775631715
"512",0.331711225964732
"513",0.401556737248952
"514",0.620748284241592
"515",0.882064130184928
"516",0.18192333466755
"517",0.248710419596303
"518",0.16767129346412
"519",0.348487358208866
"520",0.435505554513987
"521",0.449077981456626
"522",0.354675282634405
"523",0.426841508851059
"524",0.345915657769079
"525",0.341272461923473
"526",0.287114085455159
"527",0.15039553283279
"528",0.00212825907240168
"529",0.00946652172650062
"530",0.0064203491149301
"531",0.00519407371463092
"532",0.0109602891479907
"533",0.00704384843675745
"534",0.115468218077141
"535",0.00429461287215431
"536",0.0658016676768797
"537",0.009826169109883
"538",0.0185994893360352
"539",0.0541875331707045
"540",0.0646276148498365
"541",0.138641020878145
"542",0.0516906526495369
"543",0.0285163001103341
"544",0.0871981100978706
"545",0.117778301084723
"546",0.00792391953153793
"547",0.0564081278074138
"548",0.0292453978722167
"549",0.0936747183134581
"550",0.039189094802243
"551",0.0415617079441238
"552",0.112610608959894
"553",0.273054319909645
"554",0.35569501036919
"555",0.38755953787816
"556",0.240328354204703
"557",0.654551534237213
"558",0.260709646024658
"559",0.273491958768891
"560",0.259997307059576
"561",0.571561900399984
"562",0.283875348862287
"563",0.376794551783637
"564",0.216398197950006
"565",0.167760673713723
"566",0.0811513199696886
"567",0.00619098786151338
"568",0.104605238071863
"569",0.233334493834961
"570",0.147323230914379
"571",0.109010855447557
"572",0.141712565947667
"573",0.239603437131915
"574",0.391758751750033
"575",0.226193336255491
"576",0.347560254361774
"577",0.250710158519477
"578",0.358789441107462
"579",0.450887246743045
"580",0.679562470703641
"581",0.360052477739452
"582",0.300870606879641
"583",0.117700597932246
"584",0.0634491650911596
"585",0.14145761599376
"586",0.037357664655539
"587",0.0537555886983287
"588",0.0453263103523016
"589",0.0508833111288286
"590",0.248382631947053
"591",0.054482740277357
"592",0.356948964814528
"593",0.116248240957043
"594",0.243926305695879
"595",0.0512109185759621
"596",0.108713125511278
"597",0
"598",0.0528012022508542
"599",0.0915700296778469
"600",0.0296622414072603
"601",0.116252601848254
"602",0.0808905675076411
"603",0.0843904530072165
"604",0.17250629644214
"605",0.0621207871718582
"606",0.155244771777984
"607",0.088271682224957
"608",0.153514110654623
"609",0.563556925956608
"610",0.198404295845455
"611",0.557059306174279
"612",0.154002854834005
"613",0.205198672472635
"614",0.111405237005067
"615",0.17622379401716
"616",0.109785508304398
"617",0.182963172958496
"618",0.0976569327970807
"619",0.0358032412017578
"620",0.154652699705211
"621",0.109494626048533
"622",0.160355664195807
"623",0.108995466186839
"624",0.193345517879618
"625",0.0963279782310077
"626",0.203629616607023
"627",0.252382037712555
"628",0.220247531393191
"629",0.026597363816035
"630",0.163040026998602
"631",0.379745829960851
"632",0.2072793942268
"633",0.399612356415855
"634",0.254695328317804
"635",0.382193515304313
"636",0.09905151697385
"637",0.0650249965563375
"638",0.278169645299525
"639",0.117033850102546
"640",0.0580434620113396
"641",0.135562772289903
"642",0.074613262832499
"643",0.124002229893066
"644",0.00511651472384638
"645",0.0629943349500346
"646",0.020667596942071
"647",0.0741874091916486
"648",0.0610152111489463
"649",0.0646284437795707
"650",0.0842585450582056
