 velKL, accKL, jerKL, weiKL
69,103.7365,476.3359,4761
81,226.1009,429.505,6561
28,324.1768,508.9007,784
18,94.47,424.2493,324
13,34.7196,447.2105,169
20,158.7733,314.4178,400
25,64.8103,229.1143,625
18,74.767,128.7426,324
16,76.349,83.5482,256
33,169.8686,331.0075,1089
14,116.8375,332.0779,196
20,102.3138,301.474,400
23,149.4473,344.4813,529
79,382.1522,521.4834,6241
152,490.0127,882.3208,23104
198,680.5655,1134.7269,39204
207,240.3412,788.4176,42849
154,645.196,1955.5691,23716
218,2207.028,3354.4107,47524
296,2856.3143,1092.9137,87616
346,3030.9075,2221.2709,119716
142,1452.0783,2280.3887,20164
17,362.5137,2238.241,289
19,96.2443,1149.3719,361
27,193.5905,316.1889,729
17,261.6042,315.2231,289
12,108.6948,191.5606,144
29,117.4884,295.3359,841
20,146.535,217.0145,400
90,487.795,652.1748,8100
150,704.4972,964.1216,22500
236,973.769,958.4878,55696
110,1005.991,1603.6341,12100
145,214.1246,1466.4004,21025
67,669.5817,1352.8725,4489
96,331.2461,455.649,9216
52,373.4854,679.7179,2704
91,338.1785,198.1036,8281
218,889.6972,1883.986,47524
122,674.1789,1330.7792,14884
183,415.0034,1287.4302,33489
50,801.0096,1023.7731,2500
19,186.7746,887.7058,361
28,73.1009,1273.3867,784
17,103.4546,398.9783,289
11,109.4047,158.5003,121
27,98.5785,185.487,729
31,73.9581,67.5084,961
48,112.1857,45.8509,2304
27,141.1824,291.1313,729
26,138.0184,479.2802,676
13,230.2885,411.6737,169
12,28.7149,15.2194,144
20,56.2451,16.3186,400
10,54.3718,177.4505,100
13,43.5281,33.6275,169
15,13.6483,76.2754,225
45,187.8191,243.1482,2025
33,96.1813,153.6364,1089
110,464.508,419.2818,12100
244,870.8198,1356.76,59536
159,541.5552,1506.6686,25281
90,418.4143,1933.0101,8100
117,583.6383,820.1342,13689
102,345.0601,221.1248,10404
215,1083.7695,1999.1224,46225
252,1073.4358,1303.7538,63504
154,946.8171,2858.8235,23716
43,772.208,2726.587,1849
75,298.6147,1643.1704,5625
43,700.5822,448.8193,1849
25,409.8305,350.8876,625
10,66.3439,578.6501,100
23,199.6712,217.1461,529
26,220.6709,270.1169,676
28,103.1627,171.0986,784
49,215.3709,634.8249,2401
87,354.7344,496.9925,7569
326,1565.5786,2086.7472,106276
175,1099.9472,2054.6308,30625
190,178.9324,2308.0006,36100
84,808.6278,1341.7223,7056
95,492.5356,689.8574,9025
95,263.8611,1599.5942,9025
154,510.5815,1292.8719,23716
222,903.2984,1574.6519,49284
187,232.3023,1037.1113,34969
101,537.8327,1984.8151,10201
31,533.918,549.8794,961
61,187.3521,952.1873,3721
25,247.8703,811.8275,625
32,53.0465,253.5707,1024
31,214.0997,496.3497,961
29,194.7456,471.1226,841
11,200.7314,172.6031,121
13,135.1534,360.7723,169
10,79.2561,120.893,100
15,76.5762,112.3583,225
13,62.0076,122.4643,169
19,59.1536,167.0675,361
12,44.1234,158.7229,144
12,33.7375,94.3858,144
17,34.6016,108.9333,289
61,288.2321,417.047,3721
125,620.7305,923.1262,15625
242,786.5632,1135.0194,58564
208,437.2315,1196.4088,43264
160,734.238,1760.0378,25600
98,486.3889,784.7945,9604
89,122.4383,984.275,7921
115,165.0367,884.2037,13225
65,326.0306,422.2454,4225
46,367.8058,765.4276,2116
26,231.3287,692.6716,676
41,339.0866,724.1665,1681
24,214.6841,655.2695,576
60,218.6874,342.5866,3600
268,1456.4754,1967.9697,71824
92,1708.2702,2620.6089,8464
181,1371.5107,1084.2351,32761
311,821.2184,3730.1378,96721
189,758.328,3105.2999,35721
36,945.4635,2613.0264,1296
56,227.1631,1156.1318,3136
49,152.6786,1203.1677,2401
94,296.1498,318.3525,8836
58,279.3843,443.4657,3364
29,207.0833,321.6537,841
28,112.1869,579.0578,784
34,125.6893,301.0817,1156
35,57.848,137.6165,1225
32,24.5079,198.4205,1024
30,201.7574,256.7263,900
257,1374.3098,2064.8049,66049
297,461.9513,634.8919,88209
184,767.6145,3164.0439,33856
135,569.1495,1119.8878,18225
126,1252.1225,1093.4406,15876
292,1886.599,3243.8815,85264
311,1081.6404,1058.4784,96721
15,380.416,1850.801,225
145,929.6894,1793.6212,21025
181,291.6114,711.4006,32761
198,796.0001,1810.2954,39204
158,495.9066,916.5466,24964
149,514.4098,946.1751,22201
169,379.7531,983.9095,28561
426,1657.871,1832.6842,181476
92,2078.7688,3579.3455,8464
58,353.2997,2971.2504,3364
40,185.1175,2937.1912,1600
24,249.9252,472.3098,576
12,83.5614,337.5114,144
13,125.3716,518.1906,169
17,173.0417,340.4452,289
15,47.5788,200.7928,225
14,99.3874,393.3847,196
81,494.8498,801.9032,6561
99,467.6609,757.6906,9801
159,654.7499,1110.4859,25281
255,657.1151,1223.4884,65025
193,602.2747,1734.4996,37249
90,717.2535,1880.4936,8100
81,688.9972,1311.2759,6561
151,500.6019,1393.6321,22801
80,797.0678,1726.558,6400
151,914.8238,1321.5663,22801
20,826.5789,1619.1057,400
36,286.099,1787.6252,1296
24,171.1569,1352.9439,576
41,267.0269,719.5138,1681
88,464.1628,800.5941,7744
135,322.4504,491.6831,18225
54,554.3106,1447.8445,2916
135,617.5706,973.7931,18225
129,318.2001,1197.3963,16641
385,1581.5551,1476.8326,148225
42,2067.1038,3082.7208,1764
32,143.1885,2549.012,1024
54,229.5538,2898.4661,2916
54,102.0281,277.602,2916
62,131.9278,231.1153,3844
34,190.1665,372.4136,1156
15,137.5021,366.0796,225
11,91.4419,239.3412,121
11,81.9728,253.8584,121
10,40.4609,88.058,100
10,11.5879,48.6156,100
11,26.1588,66.4976,121
10,40.8715,100.0516,100
10,4.395,15.0307,100
10,44.3383,41.2486,100
14,51.801,97.9421,196
13,56.372,42.1189,169
11,19.4427,80.0876,121
10,5.5556,32.61,100
12,23.4782,46.3787,144
18,58.0686,79.5865,324
15,20.6025,59.1204,225
20,35.7463,88.3308,400
11,67.1345,151.1462,121
10,42.3549,74.7642,100
10,9.1171,44.1923,100
10,5.0179,60.2246,100
13,99.5188,148.809,169
28,91.1226,127.9971,784
84,356.6957,437.501,7056
167,519.1084,669.417,27889
226,493.5762,621.9272,51076
174,395.0566,1343.2967,30276
164,203.2506,803.8206,26896
54,1197.3033,1651.0999,2916
235,1737.2002,2477.8346,55225
254,906.034,2645.2614,64516
128,996.1702,3706.6671,16384
151,278.145,1741.218,22801
80,465.2824,1232.3044,6400
34,332.1004,815.8076,1156
41,397.5537,395.9738,1681
10,97.7423,739.1167,100
55,273.6548,215.7793,3025
44,254.6713,478.5238,1936
19,270.8193,795.5916,361
274,1562.5505,2098.4568,75076
159,1235.7362,2139.7027,25281
223,398.7975,1898.7608,49729
123,937.8779,1406.3699,15129
77,487.9668,952.196,5929
125,370.8083,1509.4908,15625
140,685.5353,1577.6977,19600
79,445.479,1128.9928,6241
198,782.276,781.7202,39204
278,709.7226,1660.1526,77284
75,1234.488,3023.3624,5625
58,141.9312,1272.3486,3364
34,337.6261,1362.5193,1156
55,245.2199,555.7274,3025
32,162.296,344.2671,1024
16,196.9522,647.6905,256
13,50.0934,268.2183,169
18,79.7472,380.9156,324
11,85.2792,148.7248,121
11,67.053,119.7299,121
10,16.4963,82.5537,100
13,85.1526,167.587,169
15,89.7037,111.4128,225
16,87.3204,57.5569,256
10,65.6711,227.8092,100
12,19.9179,116.8993,144
47,240.3769,420.9656,2209
33,136.9845,225.2737,1089
96,457.8704,436.7632,9216
251,984.9061,1556.9689,63001
207,358.1447,1214.6401,42849
208,180.1293,1504.3218,43264
111,581.2865,710.5144,12321
141,1262.1053,1769.5434,19881
218,1417.0417,2996.5175,47524
146,721.2163,1633.8284,21316
76,590.1798,2782.3937,5776
123,285.5588,1336.9254,15129
116,435.2707,454.781,13456
84,229.3724,770.7761,7056
34,225.6448,261.573,1156
14,114.4219,190.7575,196
17,21.5135,361.6752,289
55,298.7916,504.0312,3025
67,362.8172,559.3835,4489
303,1474.0278,2326.6085,91809
193,919.8837,1799.814,37249
129,593.8343,3084.9489,16641
48,550.9429,1745.4613,2304
127,639.6145,1337.6438,16129
91,669.8171,1153.7614,8281
41,476.3073,1527.0011,1681
158,711.8971,1366.5138,24964
275,855.3516,1891.558,75625
158,728.0233,2153.4357,24964
45,680.2028,2275.5644,2025
32,88.1105,984.8528,1024
12,128.2712,835.7169,144
25,154.2679,383.5434,625
11,123.09,141.3808,121
19,63.0764,265.7789,361
28,142.9036,244.6947,784
35,45.347,52.6216,1225
24,83.7398,327.7523,576
11,120.5064,72.2041,121
13,74.0105,256.0962,169
14,53.4058,74.4468,196
17,123.6744,190.0252,289
45,173.3645,264.6147,2025
76,413.3052,362.1965,5776
98,147.8806,540.5722,9604
180,526.5008,461.647,32400
269,536.5925,590.2611,72361
149,956.6888,2074.0638,22201
130,159.2123,1040.148,16900
182,1377.4224,960.5584,33124
228,2096.7555,3377.0844,51984
314,2033.994,1697.191,98596
56,1763.1571,3532.4603,3136
13,257.3626,3165.4846,169
10,72.7747,2684.7001,100
21,81.5066,415.5744,441
154,1046.5987,1589.434,23716
106,303.8635,359.8238,11236
253,967.9117,1057.7853,64009
174,687.6275,696.4974,30276
82,588.9687,2332.6767,6724
183,684.0461,1306.3027,33489
138,313.1281,469.2322,19044
292,1121.6509,1239.9894,85264
204,643.4254,988.8372,41616
66,1011.4367,3095.9269,4356
44,355.8461,736.3937,1936
21,181.5465,1616.281,441
19,148.5615,756.493,361
12,152.3195,229.4879,144
15,163.3651,144.8807,225
25,216.8728,181.248,625
67,367.7759,475.5114,4489
80,312.5296,445.4503,6400
95,458.2165,1111.6956,9025
308,1472.3598,1833.0506,94864
291,391.4608,1184.7678,84681
105,1139.7243,3909.862,11025
199,1831.0981,2631.1324,39601
160,995.1097,1717.1477,25600
112,244.7304,1694.7251,12544
37,561.7771,676.7703,1369
34,337.4523,616.2047,1156
96,393.5362,435.9364,9216
93,140.4903,668.0405,8649
59,1001.3237,3413.9396,3481
215,610.1793,1004.0711,46225
67,1051.1076,2554.5931,4489
48,130.3414,1032.4435,2304
54,146.6416,1425.3868,2916
58,73.9669,167.1691,3364
18,269.9715,525.7919,324
12,182.9757,369.7226,144
29,122.4671,318.2366,841
29,148.1105,218.1435,841
23,68.22,143.504,529
27,68.4952,264.748,729
10,117.4865,226.986,100
268,1578.3627,2276.6438,71824
318,425.6696,738.2207,101124
83,217.5041,697.8369,6889
26,388.5452,1366.0501,676
18,213.6361,235.7101,324
18,193.4434,520.8183,324
35,196.7657,255.6979,1225
55,145.9679,222.5761,3025
47,115.4151,309.3434,2209
280,1468.4525,1984.1873,78400
269,677.7424,883.6008,72361
55,185.9392,755.0796,3025
47,110.4827,2559.6297,2209
20,166.5971,396.893,400
18,85.1022,267.9817,324
21,165.7066,149.0843,441
14,133.4869,437.5227,196
59,321.2286,556.627,3481
32,277.0702,540.9516,1024
14,118.9789,635.7929,196
12,124.7524,420.9064,144
20,56.8328,171.5494,400
13,97.1688,321.177,169
24,131.8833,370.9528,576
13,109.1281,86.26,169
44,187.7053,517.0573,1936
14,191.0992,443.9765,196
20,56.6518,288.7608,400
45,204.5647,591.3192,2025
56,81.4442,187.1938,3136
16,433.5345,947.8879,256
20,133.7999,95.8111,400
42,213.4876,961.3776,1764
30,131.5358,382.5095,900
33,158.8662,454.0148,1089
15,153.1896,50.3357,225
64,383.2381,561.9252,4096
40,215.7745,419.3638,1600
23,138.0888,776.6453,529
12,176.3138,319.8729,144
10,131.3813,391.9545,100
24,117.3264,396.2793,576
22,103.624,132.5698,484
12,86.3411,187.4806,144
22,65.6308,109.0149,484
29,136.1956,276.7227,841
32,169.0527,420.9355,1024
27,162.4862,474.3519,729
19,265.0821,673.7815,361
16,51.0331,183.3053,256
28,105.5633,274.845,784
24,114.4896,188.1007,576
12,88.863,157.3849,144
11,51.9396,229.8643,121
34,139.4127,263.0264,1156
66,189.724,267.2223,4356
88,926.8435,1595.3322,7744
84,1032.7827,1266.175,7056
14,592.5684,556.3926,196
18,130.1202,1415.9892,324
88,537.4713,1676.1386,7744
208,747.3116,1043.0638,43264
117,1936.6997,3705.2866,13689
241,754.9841,2240.4768,58081
25,287.7909,1555.0981,625
24,74.5018,1640.8124,576
17,115.3908,374.1188,289
14,67.4128,151.5115,196
13,34.7832,110.3969,169
20,72.6354,194.5182,400
10,91.9122,172.5177,100
22,76.2725,119.0311,484
16,120.3694,252.7951,256
26,122.2181,152.1548,676
24,55.1745,231.6849,576
17,47.7872,56.1546,289
18,126.7111,179.9488,324
17,76.0783,132.654,289
18,102.4655,212.1417,324
11,80.509,150.2489,121
15,76.1413,77.48,225
19,97.3815,173.9283,361
15,70.548,155.7476,225
24,192.7828,281.8557,576
18,40.2501,51.9117,324
19,109.4646,85.5401,361
14,83.0854,120.2735,196
15,8.3922,25.0084,225
13,33.9395,155.1517,169
20,46.1724,69.7006,400
14,42.6682,94.4801,196
13,77.6983,153.9248,169
22,122.0353,124.8073,484
21,15.9839,73.0036,441
